time,ax,ay,az,atotal
0.010938882827758789,-0.02,-0.03,0.3,0.3
0.016715049743652344,-0.25,0.18,0.02,0.3
0.026114225387573242,-0.46,0.34,-0.19,0.6
0.035996198654174805,-0.21,0.19,-0.07,0.29
0.04627704620361328,-0.01,-0.04,-0.2,0.2
0.056021928787231445,-0.04,-0.07,-0.41,0.41
0.0663900375366211,-0.04,-0.06,-0.18,0.19
0.07561802864074707,0.14,-0.13,0.0,0.19
0.08536410331726074,0.34,-0.15,-0.23,0.43
0.09594607353210449,0.59,-0.16,-0.41,0.73
0.10616421699523926,0.49,-0.01,-0.55,0.73
0.1171271800994873,-0.03,0.31,-0.76,0.82
0.1272599697113037,-0.64,0.69,-0.83,1.25
0.13684916496276855,-0.79,0.62,-0.62,1.18
0.1473691463470459,-0.3,0.12,-0.58,0.66
0.15710091590881348,-0.02,-0.23,-0.2,0.3
0.167280912399292,-0.15,-0.35,0.37,0.53
0.17717599868774414,-0.02,-0.3,0.3,0.42
0.1871201992034912,0.2,-0.16,0.0,0.25
0.19727206230163574,0.33,-0.14,-0.23,0.42
0.20732712745666504,0.38,-0.18,-0.26,0.49
0.2184751033782959,0.24,-0.09,-0.31,0.4
0.22760891914367676,0.11,0.0,-0.39,0.4
0.23740220069885254,0.07,0.09,-0.38,0.39
0.24674606323242188,0.04,0.11,-0.11,0.16
0.25631117820739746,0.01,0.04,0.03,0.05
0.2665131092071533,0.0,0.07,0.04,0.08
0.27625489234924316,0.07,-0.02,0.1,0.12
0.28588318824768066,0.14,-0.14,0.04,0.2
0.2973611354827881,0.11,-0.12,-0.12,0.2
0.3074781894683838,0.03,-0.08,-0.13,0.15
0.3165271282196045,-0.04,-0.02,0.08,0.09
0.3269689083099365,-0.13,0.02,0.23,0.26
0.33610987663269043,-0.07,0.09,0.23,0.25
0.3460350036621094,0.06,0.05,0.15,0.16
0.35608506202697754,0.08,0.02,0.01,0.08
0.3662600517272949,0.05,0.0,-0.18,0.18
0.3763291835784912,-0.05,-0.08,-0.19,0.21
0.38622212409973145,-0.08,-0.13,-0.15,0.21
0.3961179256439209,-0.02,-0.13,-0.08,0.15
0.40631699562072754,0.04,-0.07,0.04,0.09
0.41673922538757324,0.06,0.01,0.09,0.1
0.42623305320739746,0.1,0.0,0.06,0.11
0.4362208843231201,0.1,-0.02,-0.09,0.13
0.446303129196167,0.08,-0.02,-0.16,0.18
0.4563159942626953,0.06,-0.04,-0.19,0.2
0.46644091606140137,0.01,-0.07,-0.13,0.14
0.47643494606018066,-0.01,-0.04,-0.07,0.08
0.48694705963134766,0.01,-0.01,-0.08,0.08
0.49794888496398926,0.03,0.0,-0.05,0.05
0.5076019763946533,0.08,0.02,-0.02,0.08
0.5185091495513916,0.09,0.06,-0.08,0.13
0.5276539325714111,0.08,0.07,-0.11,0.15
0.5374300479888916,0.06,0.02,-0.09,0.11
0.5477640628814697,0.05,-0.05,-0.17,0.18
0.5575480461120605,0.05,-0.07,-0.28,0.29
0.5677011013031006,0.03,-0.04,-0.24,0.24
0.5776660442352295,0.02,-0.01,-0.09,0.09
0.5877230167388916,0.0,0.01,-0.03,0.03
0.5963170528411865,-0.01,0.02,-0.03,0.03
0.6077220439910889,-0.02,0.02,-0.03,0.04
0.6185050010681152,-0.02,0.02,-0.11,0.11
0.6278660297393799,0.06,-0.01,-0.16,0.17
0.6378018856048584,0.09,-0.03,-0.22,0.23
0.6478140354156494,0.09,-0.05,-0.17,0.19
0.6577398777008057,0.09,-0.07,-0.11,0.15
0.6677730083465576,0.1,-0.07,-0.1,0.15
0.6779921054840088,0.07,-0.02,-0.04,0.08
0.6878759860992432,0.03,0.06,0.08,0.1
0.6978662014007568,0.0,0.07,0.05,0.08
0.7081060409545898,-0.01,0.05,0.05,0.07
0.7191121578216553,0.0,0.07,0.09,0.11
0.7281310558319092,0.03,0.05,0.03,0.06
0.737835168838501,0.07,0.0,-0.05,0.08
0.748215913772583,0.08,-0.01,-0.08,0.11
0.7581069469451904,0.08,0.01,-0.04,0.09
0.7680490016937256,0.09,0.01,-0.06,0.1
0.7780249118804932,0.0,0.03,-0.15,0.15
0.7881782054901123,-0.07,-0.01,-0.17,0.18
0.7981970310211182,-0.09,0.03,-0.1,0.13
0.8084280490875244,-0.09,0.06,0.02,0.1
0.8188321590423584,-0.02,0.01,-0.03,0.03
0.8283250331878662,0.06,-0.02,-0.06,0.08
0.8380930423736572,0.1,-0.01,-0.05,0.11
0.8481619358062744,0.06,0.0,-0.07,0.09
0.8582541942596436,0.01,0.0,-0.09,0.09
0.8685441017150879,-0.04,0.03,-0.05,0.07
0.8781559467315674,0.0,0.0,-0.12,0.12
