time,ax,ay,az,atotal
0.006773948669433594,0.31,-0.36,-0.37,0.6
0.015414953231811523,0.48,-0.38,-1.0,1.17
0.02021479606628418,0.41,-0.44,-0.98,1.14
0.030252933502197266,0.12,-0.44,-0.46,0.64
0.040405988693237305,-0.21,-0.29,0.3,0.46
0.05033278465270996,-0.47,-0.1,0.98,1.09
0.062194108963012695,-0.6,-0.15,1.3,1.43
0.07044577598571777,-0.46,-0.36,0.84,1.02
0.08027005195617676,-0.21,-0.45,0.1,0.5
0.09044098854064941,-0.14,-0.29,-0.2,0.37
0.10053706169128418,-0.13,-0.15,-0.24,0.31
0.11232686042785645,-0.09,-0.06,-0.2,0.22
0.12041997909545898,-0.11,-0.02,-0.15,0.18
0.13051581382751465,-0.16,-0.01,-0.08,0.17
0.140578031539917,-0.17,-0.02,-0.13,0.21
0.15061306953430176,-0.18,-0.06,-0.31,0.36
0.16226887702941895,-0.14,-0.08,-0.35,0.38
0.17079710960388184,-0.1,-0.07,-0.29,0.31
0.18069911003112793,-0.02,-0.08,-0.25,0.26
0.19088482856750488,0.03,-0.06,-0.27,0.27
0.20068693161010742,-0.07,0.05,-0.44,0.44
0.21241211891174316,-0.11,0.05,-0.48,0.49
0.22085881233215332,-0.15,-0.08,-0.3,0.34
0.23067998886108398,-0.34,-0.05,-0.16,0.37
0.24079394340515137,-0.33,-0.06,-0.05,0.33
0.2508969306945801,-0.29,-0.15,0.0,0.32
0.2623918056488037,-0.31,-0.24,-0.1,0.4
0.270953893661499,-0.35,-0.26,-0.02,0.43
0.2807791233062744,-0.35,-0.26,0.19,0.47
0.2909848690032959,-0.31,-0.25,0.24,0.46
0.30091404914855957,-0.23,-0.21,0.19,0.36
0.31272292137145996,-0.14,-0.16,0.05,0.21
0.3209540843963623,-0.06,-0.11,-0.19,0.22
0.33107495307922363,-0.02,-0.1,-0.39,0.4
0.3409860134124756,-0.07,-0.17,-0.55,0.57
0.3511230945587158,-0.23,-0.21,-0.45,0.54
0.3627018928527832,-0.34,-0.22,-0.08,0.41
0.3711550235748291,-0.36,-0.16,0.25,0.46
0.38103699684143066,-0.23,-0.11,0.32,0.4
0.3912618160247803,-0.09,-0.1,0.13,0.18
0.4013040065765381,-0.02,-0.26,-0.61,0.66
0.4130990505218506,-0.11,-0.42,-1.29,1.36
0.421008825302124,-0.4,-0.1,0.68,0.79
0.4313509464263916,-0.5,0.07,1.28,1.37
0.4412379264831543,-0.26,-0.01,0.89,0.92
0.4512770175933838,-0.07,-0.04,0.23,0.24
0.4628009796142578,0.03,-0.03,-0.33,0.33
0.4714028835296631,0.13,-0.16,-0.92,0.94
