time,ax,ay,az,atotal
0.005636930465698242,0.18,-0.04,-0.67,0.69
0.015566825866699219,0.44,-0.26,-0.55,0.75
0.02574300765991211,0.55,-0.51,-0.74,1.05
0.035492897033691406,0.74,-0.63,-1.28,1.6
0.0457768440246582,0.93,-0.52,-1.95,2.22
0.05592679977416992,0.58,-0.19,-2.14,2.22
0.0657799243927002,-0.07,0.06,-1.92,1.92
0.0758519172668457,-0.45,0.16,-1.66,1.72
0.08585786819458008,-0.6,0.01,-1.27,1.4
0.09608602523803711,-0.55,-0.17,-0.68,0.89
0.10633707046508789,-0.4,-0.28,-0.24,0.54
0.11601495742797852,-0.36,-0.4,0.07,0.54
0.12627196311950684,-0.39,-0.46,0.19,0.63
0.13605690002441406,-0.4,-0.48,0.25,0.67
0.14634275436401367,-0.08,-0.64,0.16,0.66
0.15660786628723145,1.06,-1.02,0.08,1.47
0.16633176803588867,1.72,-0.41,0.16,1.77
0.1764979362487793,1.57,0.07,-0.14,1.57
0.1864328384399414,1.34,-0.53,-0.36,1.48
0.19655179977416992,1.62,-1.86,-0.26,2.48
0.2067859172821045,2.08,-2.86,-0.37,3.55
0.21655893325805664,2.12,-3.06,-0.5,3.75
0.2267780303955078,1.93,-2.26,-1.02,3.14
0.2366018295288086,1.5,-1.5,-1.18,2.42
0.24683690071105957,1.05,-0.94,-0.94,1.69
0.2570009231567383,1.02,-0.55,-0.08,1.16
0.26691102981567383,1.17,-0.23,0.85,1.46
0.27695393562316895,1.51,-0.1,1.35,2.02
0.28707408905029297,1.9,-0.18,1.61,2.49
0.2970468997955322,2.26,-0.36,1.33,2.64
0.3073878288269043,2.63,-0.63,0.91,2.85
0.3172788619995117,2.79,-0.89,0.71,3.01
0.3274219036102295,1.93,-0.5,0.56,2.07
0.33719897270202637,-3.96,1.94,0.65,4.45
0.34743404388427734,-9.41,4.96,0.48,10.64
0.35761308670043945,-6.58,4.25,-0.01,7.83
0.3675270080566406,-2.75,1.27,0.24,3.03
0.3777809143066406,0.82,-1.09,0.83,1.59
0.3875918388366699,1.74,-1.58,1.27,2.67
0.3977627754211426,1.26,-0.98,1.33,2.07
0.40780091285705566,0.22,-0.18,1.28,1.31
0.41768789291381836,-0.3,0.47,1.27,1.38
0.42791295051574707,-0.1,0.94,0.74,1.2
0.4377279281616211,-0.13,0.85,-0.26,0.89
0.4480459690093994,-0.79,0.61,-1.11,1.49
0.4580199718475342,-1.65,0.28,-2.84,3.29
0.46898889541625977,-2.42,-0.2,-4.23,4.87
0.4781019687652588,-2.53,-0.34,-2.72,3.73
0.48824191093444824,-2.51,-0.21,-0.54,2.57
0.4981088638305664,-2.26,0.37,0.52,2.34
0.5083980560302734,-1.57,0.19,0.4,1.63
0.5188119411468506,-0.75,-0.06,0.37,0.83
0.5284059047698975,-0.55,0.05,0.21,0.59
0.5381350517272949,-0.37,-0.2,-0.02,0.42
0.5484647750854492,-0.19,-0.35,0.12,0.41
0.558398962020874,-0.2,-0.26,0.65,0.72
0.5683889389038086,-0.25,0.05,1.25,1.27
0.5785880088806152,-0.07,0.29,1.76,1.78
0.5885169506072998,0.11,0.36,2.06,2.09
0.5987200736999512,0.13,0.37,1.97,2.0
0.6088049411773682,-0.07,0.26,1.69,1.71
0.6186070442199707,-0.24,-0.01,1.32,1.34
0.6288747787475586,-0.28,-0.33,0.84,0.94
0.6388819217681885,-0.38,-0.58,0.4,0.8
0.6490578651428223,-0.52,-0.62,-0.03,0.8
0.6590948104858398,-0.69,-0.51,-0.28,0.9
0.6690418720245361,-0.73,-0.3,-0.33,0.85
0.6791467666625977,-0.48,-0.1,-0.25,0.55
0.6891918182373047,-0.08,0.05,-0.17,0.19
0.6992669105529785,0.24,0.22,-0.34,0.47
0.7094087600708008,0.45,0.32,-0.5,0.74
0.7192299365997314,0.56,0.38,-0.53,0.85
0.7295780181884766,0.57,0.45,-0.69,1.0
0.7394499778747559,0.61,0.49,-1.02,1.28
0.7495789527893066,0.72,0.57,-1.4,1.67
0.7595677375793457,0.88,0.65,-1.78,2.08
0.7696218490600586,1.03,0.82,-2.04,2.42
0.7797250747680664,1.13,1.18,-2.33,2.84
0.7898130416870117,0.98,1.62,-2.71,3.3
0.7998800277709961,0.58,2.05,-3.16,3.81
0.8099560737609863,-0.06,2.23,-3.58,4.21
0.8198399543762207,-1.27,1.98,-3.65,4.34
0.8300070762634277,-2.63,1.46,-3.04,4.27
0.8401389122009277,-2.34,0.68,-1.93,3.1
0.8502819538116455,-0.99,0.19,0.02,1.0
0.8602237701416016,-0.22,0.4,2.72,2.75
0.8702239990234375,-0.42,0.61,5.38,5.43
0.8802058696746826,-1.64,0.87,6.84,7.08
0.8903448581695557,-2.86,-0.24,7.44,7.97
0.900324821472168,-2.52,-1.24,6.9,7.44
0.910498857498169,-1.31,-2.16,5.07,5.66
0.920313835144043,-0.32,-3.51,2.96,4.6
0.9305028915405273,-0.4,-4.64,1.31,4.83
0.9405517578125,-0.39,-4.92,0.37,4.94
0.950767993927002,-0.16,-4.93,-0.61,4.97
0.9606990814208984,0.37,-4.52,-1.46,4.76
0.9706618785858154,1.15,-3.74,-1.53,4.2
0.9807288646697998,1.68,-2.74,-1.35,3.48
0.9909248352050781,1.97,-1.84,-0.7,2.78
1.0009839534759521,2.54,-1.57,0.22,2.99
1.0109457969665527,3.23,-1.09,0.73,3.48
1.021000862121582,2.42,0.26,0.19,2.44
1.0310919284820557,0.97,1.41,-0.72,1.85
1.0412278175354004,0.19,1.91,-0.83,2.09
1.0512988567352295,0.03,1.77,-0.39,1.81
1.0612430572509766,0.28,0.86,-0.1,0.9
1.0712518692016602,0.48,-0.06,-0.06,0.48
1.0813539028167725,0.33,-0.34,-0.25,0.53
1.091433048248291,-0.03,-0.22,-0.59,0.63
1.1015310287475586,-0.16,-0.01,-1.0,1.01
1.1116180419921875,0.02,0.23,-1.22,1.24
1.1215739250183105,0.35,0.45,-1.16,1.29
1.1316099166870117,0.68,0.48,-1.13,1.4
1.141669750213623,0.78,0.38,-1.03,1.34
1.1517200469970703,0.57,0.25,-0.99,1.16
1.161818027496338,0.26,0.08,-1.09,1.12
1.1718308925628662,-0.21,0.05,-1.27,1.28
1.1818780899047852,-0.69,0.1,-1.45,1.6
1.1920270919799805,-0.98,0.14,-1.27,1.61
1.20210599899292,-0.78,0.11,-0.67,1.03
1.2121379375457764,-0.35,0.03,0.0,0.35
