time,ax,ay,az,atotal
0.007615089416503906,-1.63,-1.36,-0.68,2.22
0.011954307556152344,-1.27,-1.14,-1.01,1.98
0.016186237335205078,-1.14,-0.9,-1.5,2.08
0.021599292755126953,-1.09,-0.74,-1.93,2.33
0.026765108108520508,-1.11,-0.74,-2.15,2.53
0.031072139739990234,-1.1,-0.79,-2.13,2.52
0.035752296447753906,-0.95,-0.81,-1.88,2.25
0.04000711441040039,-0.87,-0.89,-1.63,2.05
0.04531097412109375,-0.96,-0.93,-1.42,1.95
0.05092811584472656,-1.15,-0.82,-1.32,1.93
0.05601310729980469,-1.25,-0.68,-1.38,1.98
0.061156272888183594,-1.27,-0.46,-1.7,2.17
0.06615710258483887,-1.27,-0.12,-2.1,2.45
0.07196521759033203,-1.28,0.16,-2.41,2.73
0.07806921005249023,-1.29,0.29,-2.58,2.89
0.08318424224853516,-1.27,0.33,-2.69,2.99
0.08835601806640625,-1.22,0.3,-2.86,3.12
0.09328126907348633,-1.31,0.1,-2.78,3.07
0.09930229187011719,-1.36,0.01,-2.67,2.99
0.10539722442626953,-1.39,0.31,-2.73,3.07
0.1105191707611084,-1.37,0.72,-2.78,3.18
0.11518716812133789,-1.2,0.96,-2.79,3.18
0.12029814720153809,-0.7,1.1,-2.86,3.14
0.12656712532043457,-0.1,1.17,-2.9,3.12
0.13266229629516602,0.49,1.12,-2.84,3.09
0.13788604736328125,0.78,0.97,-2.64,2.91
0.1430492401123047,1.01,1.04,-2.19,2.62
0.14793610572814941,1.54,1.44,-1.35,2.5
0.15403032302856445,1.7,1.14,-0.67,2.15
0.1600790023803711,1.49,0.98,0.01,1.78
0.16476821899414062,1.09,0.99,0.36,1.51
0.16972923278808594,0.83,1.03,0.22,1.34
0.17472314834594727,0.83,1.11,-0.1,1.38
0.18102812767028809,0.9,0.91,-0.34,1.32
0.18612313270568848,1.04,0.6,-0.39,1.26
0.19038724899291992,1.26,0.49,0.21,1.36
0.19460511207580566,1.56,0.29,1.16,1.96
0.19882416725158691,1.86,0.06,2.1,2.8
0.2040400505065918,2.02,0.21,2.8,3.45
0.20952129364013672,1.76,0.71,2.79,3.37
0.21386313438415527,1.51,1.35,2.11,2.92
0.21917200088500977,1.72,1.73,1.45,2.83
