time,ax,ay,az,atotal
0.006838083267211914,-0.08,0.15,-0.16,0.23
0.012844085693359375,0.06,0.05,-0.03,0.08
0.02292013168334961,0.12,-0.03,0.12,0.17
0.03301095962524414,0.27,-0.08,0.29,0.4
0.04292726516723633,0.45,-0.07,0.39,0.59
0.0529780387878418,0.59,-0.03,0.38,0.7
0.06304717063903809,0.63,0.01,0.23,0.67
0.07316303253173828,0.53,0.01,0.11,0.54
0.08314323425292969,0.35,0.02,0.1,0.36
0.09319710731506348,0.17,0.05,0.1,0.2
0.10325002670288086,-0.01,0.05,0.08,0.09
0.11308813095092773,-0.11,0.07,0.02,0.13
0.12339615821838379,-0.16,0.05,-0.03,0.17
0.1334209442138672,-0.18,0.02,-0.05,0.18
0.14350509643554688,-0.17,-0.03,-0.03,0.17
0.15355205535888672,-0.16,-0.13,-0.02,0.2
0.16401410102844238,-0.15,-0.19,0.0,0.24
0.17397117614746094,-0.17,-0.2,0.0,0.26
0.18394207954406738,-0.2,-0.16,-0.03,0.25
0.1937270164489746,-0.19,-0.12,-0.05,0.23
0.20384502410888672,-0.17,-0.1,-0.06,0.2
0.21391725540161133,-0.15,-0.09,-0.09,0.19
0.22390317916870117,-0.15,-0.08,-0.1,0.19
0.23366022109985352,-0.15,-0.09,-0.11,0.2
0.24398422241210938,-0.18,-0.11,-0.14,0.25
0.2539830207824707,-0.25,-0.11,-0.2,0.33
0.2640981674194336,-0.24,-0.1,-0.22,0.34
0.27416419982910156,-0.16,-0.07,-0.23,0.28
0.2841372489929199,-0.1,-0.06,-0.22,0.24
0.2942521572113037,-0.04,-0.05,-0.13,0.14
0.3043360710144043,0.02,-0.06,-0.05,0.08
0.3144221305847168,0.06,-0.05,0.02,0.08
0.32445311546325684,0.06,-0.04,0.06,0.09
0.3344612121582031,0.05,-0.02,0.04,0.06
0.34453606605529785,0.03,0.0,-0.01,0.03
0.3545811176300049,-0.01,0.02,-0.1,0.1
0.36471009254455566,-0.03,0.04,-0.14,0.14
0.37479305267333984,-0.04,0.04,-0.1,0.11
0.38474106788635254,-0.04,0.02,-0.03,0.05
0.3948402404785156,-0.03,0.01,0.04,0.05
0.40488719940185547,-0.04,-0.04,0.08,0.09
0.4149501323699951,-0.09,-0.09,0.1,0.16
0.42496514320373535,-0.08,-0.06,0.07,0.12
0.4352600574493408,-0.1,0.02,-0.01,0.1
0.4452352523803711,-0.11,0.05,-0.04,0.12
0.45476818084716797,-0.11,0.05,-0.07,0.13
0.4657440185546875,-0.13,0.02,-0.14,0.19
0.47516512870788574,-0.16,0.0,-0.16,0.22
0.4852151870727539,-0.15,-0.02,-0.14,0.2
0.4952559471130371,-0.12,-0.03,-0.09,0.15
0.5054240226745605,-0.07,-0.05,-0.03,0.09
0.5154662132263184,-0.03,-0.06,0.05,0.08
0.5255379676818848,0.02,-0.05,0.04,0.06
0.535552978515625,0.06,-0.03,0.0,0.06
0.5456252098083496,0.04,-0.02,-0.03,0.05
0.555596113204956,-0.01,-0.01,-0.07,0.07
0.5657672882080078,-0.01,-0.03,-0.09,0.09
0.5757980346679688,0.01,-0.03,-0.05,0.05
0.5858449935913086,0.04,-0.03,0.01,0.05
0.5958652496337891,0.06,-0.03,0.07,0.09
0.6059432029724121,0.04,-0.04,0.15,0.16
0.6155591011047363,0.01,-0.02,0.13,0.13
0.6257109642028809,0.01,-0.01,0.08,0.08
0.6356892585754395,0.0,0.02,0.05,0.05
0.6452512741088867,0.0,0.05,-0.01,0.05
0.6562409400939941,0.01,0.04,-0.06,0.07
0.6663351058959961,-0.01,-0.02,-0.02,0.03
0.6762871742248535,-0.06,-0.05,0.05,0.09
0.6863820552825928,-0.12,-0.09,0.05,0.15
0.6965711116790771,-0.16,-0.12,0.06,0.2
0.706536054611206,-0.15,-0.15,0.02,0.21
0.7165951728820801,-0.14,-0.13,-0.03,0.19
0.7261590957641602,-0.15,-0.07,-0.07,0.17
0.7357540130615234,-0.2,-0.06,-0.16,0.26
0.746737003326416,-0.16,-0.05,-0.27,0.31
0.756831169128418,-0.04,-0.05,-0.36,0.36
0.7668032646179199,0.1,-0.08,-0.39,0.41
0.7765891551971436,0.27,-0.06,-0.24,0.36
0.7861511707305908,0.28,-0.01,-0.13,0.3
0.7971129417419434,-0.05,-0.05,0.1,0.12
0.8070240020751953,-0.21,-0.09,0.27,0.35
0.8171751499176025,-0.34,-0.04,0.39,0.51
0.8272509574890137,-0.33,0.03,0.24,0.4
