a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,a17,a18,a19,a20,a21,a22,a23,a24,a25,a26,a27,a28,a29,a30,a31,a32,a33,a34,a35,a36,a37,a38,a39,a40,a41,a42,a43,a44,a45,a46,a47,a48,a49,a50,a51,a52,a53,a54,a55,a56,a57,a58,a59,a60,a61,a62,a63,a64,a65,a66,a67,a68,a69,a70,a71,a72,a73,a74,a75,a76,a77,a78,a79,a80,a81,a82,a83,a84,a85,a86,a87,a88,a89,a90,a91,a92,a93,a94,a95,a96,a97,a98,a99,type_chute
0.18,0.12,-0.08,-0.24,-0.39,-0.61,-0.81,-0.94,-1.12,-1.08,-0.93,-0.78,-0.87,-0.77,-0.59,-0.49,-0.42,-0.5,-0.6,-0.63,-0.69,-0.81,-0.82,-0.76,-0.75,-0.79,-0.75,-0.53,-0.32,-0.31,-0.34,-0.46,-0.58,-0.59,-0.55,-0.47,-0.47,-0.51,-0.49,-0.51,-0.58,-0.65,-0.9,-0.97,-0.81,-0.57,-0.35,-0.09,0.05,0.14,0.24,0.4,0.53,0.69,0.8,0.96,1.07,1.13,1.3,1.71,1.44,1.1,1.17,1.14,1.11,1.05,0.9,0.59,0.14,-0.3,-0.86,-1.62,-2.1,-2.03,-1.89,-1.87,-1.74,-1.62,-1.58,-1.38,-0.81,0.04,0.78,0.95,0.73,0.56,0.44,0.56,0.65,0.58,0.47,0.34,0.07,-0.16,-0.31,-0.36,-0.45,-0.65,-0.75,-0.68,0
-0.57,-0.7,-0.79,-0.34,2.14,1.1,-0.98,-0.28,-0.11,0.02,0.56,3.21,2.57,-1.09,-0.35,-0.08,0.4,-0.2,-0.97,-0.97,-0.16,0.3,0.03,-0.49,-0.67,-0.58,-0.32,-0.28,-0.3,-0.57,-0.61,-0.33,-0.39,-0.6,-0.56,-0.64,-0.76,-0.61,-0.42,-0.67,-0.52,-0.01,0.18,0.11,-0.18,-0.41,-0.85,-0.83,-0.48,-0.03,0.57,0.81,0.84,0.66,0.27,0.07,-0.14,-0.34,0.11,0.36,0.29,0.02,-0.5,-0.3,-0.16,0.2,-1.09,0.06,-0.09,-0.16,-0.77,-1.99,-2.4,-0.48,-0.74,-0.88,-0.68,-0.78,-0.94,-0.87,-0.84,-1.17,-0.76,-0.47,-0.51,-0.83,-0.85,-0.3,-0.08,-0.08,-0.21,-0.39,-0.61,-0.96,-1.16,-1.13,-0.9,-0.58,-0.43,-0.35,0
-0.4,-0.36,-0.39,-0.4,-0.08,1.06,1.72,1.57,1.34,1.62,2.08,2.12,1.93,1.5,1.05,1.02,1.17,1.51,1.9,2.26,2.63,2.79,1.93,-3.96,-9.41,-6.58,-2.75,0.82,1.74,1.26,0.22,-0.3,-0.1,-0.13,-0.79,-1.65,-2.42,-2.53,-2.51,-2.26,-1.57,-0.75,-0.55,-0.37,-0.19,-0.2,-0.25,-0.07,0.11,0.13,-0.07,-0.24,-0.28,-0.38,-0.52,-0.69,-0.73,-0.48,-0.08,0.24,0.45,0.56,0.57,0.61,0.72,0.88,1.03,1.13,0.98,0.58,-0.06,-1.27,-2.63,-2.34,-0.99,-0.22,-0.42,-1.64,-2.86,-2.52,-1.31,-0.32,-0.4,-0.39,-0.16,0.37,1.15,1.68,1.97,2.54,3.23,2.42,0.97,0.19,0.03,0.28,0.48,0.33,-0.03,-0.16,0
0.43,0.5,0.62,0.88,0.83,0.84,0.73,0.6,0.4,0.2,0.17,0.04,-0.32,-0.54,-0.74,-0.89,-0.91,-0.8,-0.68,-0.64,0.14,0.55,0.07,0.15,0.32,-0.18,-0.58,-0.39,-0.66,-0.47,-1.55,-0.66,-0.13,0.27,0.24,-0.76,-1.73,-1.52,-1.34,-1.21,-0.23,-0.04,-0.26,-0.2,-0.07,0.36,0.64,0.35,-0.34,-0.04,0.04,-1.12,-2.1,-0.44,1.83,4.95,4.73,7.09,6.35,3.6,4.17,4.74,4.6,3.96,4.74,5.34,4.19,2.88,1.36,0.39,0.78,-0.32,-2.8,-3.87,-2.18,0.31,1.32,1.73,1.71,1.57,1.41,1.02,0.38,-1.82,-3.74,-9.54,-11.19,-5.76,-1.82,-0.31,0.3,0.37,-0.08,-0.46,-1.01,-1.56,-1.66,-1.06,0.28,1.53,1
-0.07,-0.27,0.06,0.08,0.15,0.37,0.54,0.53,0.41,0.26,0.17,0.1,0.06,0.06,-0.02,-0.25,-0.52,-0.67,-0.71,-0.68,-0.7,-0.75,-0.78,-0.81,-0.63,-0.32,-0.67,-1.02,-0.96,-0.59,-0.19,0.19,0.4,0.38,0.25,0.06,-0.11,-0.23,-0.3,-0.24,-0.09,0.15,0.14,0.06,0.02,0.0,-0.02,-0.06,-0.1,-0.16,-0.15,-0.12,-0.09,-0.09,-0.03,0.07,0.19,0.22,0.15,0.07,0.02,0.0,-0.03,-0.05,-0.07,-0.13,-0.17,-0.2,-0.17,-0.12,-0.07,0.0,0.05,0.05,0.01,-0.05,-0.08,-0.05,-0.06,-0.1,-0.08,-0.03,-0.01,0.02,0.04,-0.04,-0.11,-0.07,-0.02,0.03,0.08,0.04,-0.07,-0.17,-0.2,-0.18,-0.18,-0.14,-0.06,0.02,1
-4.31,-3.63,-2.92,-2.21,-1.67,-1.24,-1.17,-1.27,-1.3,-1.32,-1.31,-0.9,-0.25,-0.86,-1.62,-1.33,-0.47,0.12,0.64,1.12,1.09,1.59,2.42,3.06,3.23,3.12,2.52,2.11,2.14,1.62,1.27,1.28,1.02,0.5,-0.03,-0.69,-1.19,-1.63,-2.04,-1.66,-1.11,-0.54,-0.26,-0.54,0.39,0.96,1.04,0.2,-0.33,-1.51,-1.95,1.94,4.28,4.55,4.09,3.94,3.75,3.52,2.98,2.42,2.1,1.92,1.82,1.68,1.56,1.27,0.85,0.46,0.28,0.01,-0.2,-0.23,-0.28,-0.26,-0.08,0.0,0.1,0.2,0.33,0.37,0.52,0.76,1.17,1.33,1.56,1.89,1.86,1.66,1.7,1.88,1.8,1.81,1.85,1.84,1.84,1.8,1.83,1.68,1.83,2.32,2
-0.1,0.49,0.78,1.01,1.54,1.7,1.49,1.09,0.83,0.83,0.9,1.04,1.26,1.56,1.86,2.02,1.76,1.51,1.72,1.32,0.94,0.58,0.1,-0.18,-0.72,-1.08,-0.97,0.1,0.07,-1.56,0.28,1.27,0.92,0.61,0.44,0.65,1.0,1.23,1.29,1.05,0.65,0.32,0.1,-0.09,-0.27,-0.35,-0.29,-0.18,-0.1,-0.06,-0.06,-0.05,-0.02,0.13,0.29,0.37,0.43,0.52,0.54,0.36,0.03,-0.26,-0.27,0.03,0.42,0.73,0.72,0.58,0.54,0.52,0.36,0.22,0.23,0.38,0.57,0.69,0.67,0.89,0.85,0.24,-0.31,-0.83,-1.07,-0.92,-0.65,-0.47,-0.39,-0.45,-0.63,-0.86,-1.0,-0.97,-0.82,-0.68,-0.55,-0.38,-0.25,-0.21,-0.21,-0.21,2
0.32,0.44,0.63,0.77,0.85,0.64,1.01,1.0,0.59,0.35,0.18,0.19,0.34,0.56,0.77,0.97,1.08,1.01,0.88,0.71,0.56,0.46,0.33,0.11,-0.1,-0.18,-0.23,-0.34,-0.53,-0.78,-0.67,-0.53,-0.12,0.33,0.38,-0.04,-0.6,-0.98,-1.16,-0.78,-0.34,-0.14,-0.32,-1.03,-1.79,-2.1,-1.58,-0.84,-0.54,-0.33,-0.03,0.13,0.12,0.09,-0.01,-0.28,-0.58,-0.78,-0.88,-0.98,-0.98,-0.98,-0.99,-1.05,-1.02,-1.11,-1.1,-0.49,0.17,0.7,1.0,1.07,0.91,0.7,0.58,0.37,0.14,0.05,-0.08,-0.18,-0.17,0.07,0.43,0.72,0.92,0.98,0.84,0.61,0.34,0.09,-0.06,-0.08,0.01,0.11,0.13,0.14,0.09,-0.03,-0.07,-0.12,3
-0.43,-0.44,-0.34,-0.17,0.04,0.23,0.34,0.36,0.33,0.23,0.09,-0.02,-0.06,-0.07,-0.02,0.11,0.27,0.4,0.44,0.41,0.37,0.33,0.28,0.24,0.22,0.2,0.16,0.19,0.26,0.36,0.43,0.45,0.45,0.43,0.38,0.28,0.15,0.08,-0.02,-0.15,-0.28,-0.41,-0.54,-0.63,-0.68,-0.71,-0.67,-0.56,-0.44,-0.3,-0.15,-0.01,0.14,0.29,0.4,0.52,0.59,0.61,0.6,0.55,0.48,0.39,0.25,0.08,-0.09,-0.25,-0.33,-0.33,-0.29,-0.25,-0.17,-0.1,-0.06,-0.05,-0.04,-0.04,-0.05,-0.06,-0.07,-0.05,-0.02,0.03,0.08,0.12,0.15,0.18,0.19,0.18,0.15,0.14,0.1,0.04,0.0,0.0,0.02,0.01,0.06,0.09,0.07,0.03,3
0.02,-0.08,-0.18,-0.22,-0.19,-0.13,-0.1,-0.1,-0.07,-0.07,-0.07,-0.04,0.0,0.05,0.06,0.05,0.08,0.13,0.19,0.23,0.25,0.23,0.2,0.14,0.03,-0.11,-0.17,-0.19,-0.23,-0.21,-0.18,-0.14,-0.11,-0.1,-0.06,-0.04,-0.03,-0.02,0.03,0.09,0.13,0.16,0.16,0.11,0.05,-0.02,-0.05,-0.1,-0.13,-0.11,-0.07,-0.05,-0.06,-0.06,-0.04,-0.01,0.04,0.12,0.12,0.1,0.08,0.12,0.15,0.14,0.09,0.09,0.09,0.07,0.03,-0.02,-0.1,-0.14,-0.13,-0.09,-0.05,-0.02,0.04,0.05,0.07,0.1,0.1,0.09,0.07,0.06,0.09,0.05,0.0,-0.04,-0.1,-0.14,-0.17,-0.19,-0.18,-0.14,-0.05,0.02,0.04,0.02,0.0,-0.02,3
-1.64,-1.69,-0.65,-0.15,0.69,2.76,4.48,5.36,4.21,2.61,1.42,0.21,-0.58,-1.05,-1.13,-0.92,-1.13,-0.94,-0.92,-0.92,-0.93,-0.85,-0.26,0.72,0.99,0.4,-0.82,-1.73,-0.65,0.1,-0.06,-0.47,-0.95,-1.12,-0.91,-0.34,0.16,0.66,0.6,0.04,0.0,0.02,0.02,0.07,0.3,0.47,0.4,0.28,0.03,-0.3,-0.64,-0.89,-0.95,-0.57,-0.24,-0.02,0.24,0.25,0.12,0.16,0.41,0.72,-0.75,-0.99,-0.17,-0.16,-1.24,-1.51,-0.98,-0.55,-0.23,0.06,0.06,-0.01,-0.14,-0.32,-0.49,-0.54,-0.43,-0.28,-0.12,-0.01,0.15,0.39,0.55,0.57,0.66,0.75,0.78,0.83,0.79,0.73,0.52,0.24,-0.01,-0.23,-0.31,-0.5,-0.67,-0.87,3
-0.19,-0.26,-0.2,-0.08,-0.01,0.06,0.09,0.04,-0.09,-0.16,-0.14,-0.15,-0.18,-0.17,-0.03,0.11,0.13,0.08,-0.01,-0.08,-0.12,-0.11,-0.03,0.04,0.05,-0.01,-0.1,-0.18,-0.11,0.0,0.06,0.05,0.03,-0.06,-0.16,-0.21,-0.15,-0.05,0.0,-0.02,-0.06,-0.08,0.12,0.26,0.33,0.57,0.83,1.49,2.1,2.55,3.02,3.24,2.81,1.72,0.34,-0.93,-2.76,-6.02,-10.21,-6.01,1.23,2.83,2.03,0.96,0.05,-0.69,-1.19,-1.55,-1.69,-2.16,-2.1,-1.48,-1.01,-0.3,0.41,0.92,1.41,1.84,2.36,2.49,1.83,0.71,-0.24,-0.76,-0.78,-0.41,0.04,0.24,0.23,0.11,-0.05,-0.31,-0.52,-0.58,-0.41,-0.09,0.14,0.24,0.28,0.24,3
